msisdn,home_city_name,home_region_name
212678474290,Agni Izimmer,Souss-Massa
212783750441,Taza,Fès-Meknès
212728581026,Skhinate,Fès-Meknès
212647690968,Boujdour,Laâyoune-Sakia El Hamra
212651813158,Sebt Jahjouh,Fès-Meknès
212696743080,Ait Daoud,Marrakech-Safi
212799807031,Témara,Rabat-Salé-Kénitra
212672941601,Séfrou,Fès-Meknès
212716416441,Rommani,Rabat-Salé-Kénitra
212673261977,Ben Ahmed,Casablanca-Settat
212677245386,Lalla Takerkoust,Marrakech-Safi
212768218999,Tiznit,Souss-Massa
212746622979,Ighoud,Marrakech-Safi
212681306792,Ihddaden,l'Oriental
212623228478,Bni Tadjite,l'Oriental
212651465833,Sidi Rahhal,Marrakech-Safi
212743010277,Aourir,Souss-Massa
212748623049,Zagora,Drâa-Tafilalet
212783409723,Oulad Teïma,Souss-Massa
212745799351,Sidi Slimane Echcharaa,l'Oriental
212723539685,Bouarfa,l'Oriental
212735223971,Massa (Maroc),Souss-Massa
212736043256,Ajdir,Tanger-Tétouan-Al Hoceïma
212775718191,Sidi Allal El Bahraoui,Rabat-Salé-Kénitra
212622816711,Assa,Guelmim-Oued Noun
212694520297,Ouazzane,Tanger-Tétouan-Al Hoceïma
212619980211,Tizguite,Fès-Meknès
212797450818,Sidi Bou Othmane,Marrakech-Safi
212640969352,Er-Rich,Béni Mellal-Khénifra
212757450953,Foum Jamaa,Béni Mellal-Khénifra
212791415535,Imintanoute,Marrakech-Safi
212664149446,Boudnib,Drâa-Tafilalet
212777305547,El Kelaâ des Sraghna,Marrakech-Safi
212713115972,Kasba Tadla,Béni Mellal-Khénifra
212645567990,Aklim,l'Oriental
212650234929,Moqrisset,Tanger-Tétouan-Al Hoceïma
212766557043,Aït Melloul,Souss-Massa
212758506424,Touarga,Rabat-Salé-Kénitra
212782030965,Aïn Bni Mathar,l'Oriental
212712227288,Nador,l'Oriental
212747468325,Tarfaya,Laâyoune-Sakia El Hamra
212657802010,Tounfite,Drâa-Tafilalet
212625112699,Dar Bni Karrich,Tanger-Tétouan-Al Hoceïma
212747146210,Awsard,Dakhla-Oued Ed Dahab
212726260581,Tiztoutine,l'Oriental
212728110474,Settat,Casablanca-Settat
212613957207,Toundoute,Drâa-Tafilalet
212762290910,Harte Lyamine,Drâa-Tafilalet
212613729501,Berkane,l'Oriental
212752797280,Anzi,Souss-Massa
212738169158,Zeghanghane,l'Oriental
212653035297,Zaouia d'Ifrane,Fès-Meknès
212684648671,Ben Taïeb,l'Oriental
212778410764,Mehdia,Rabat-Salé-Kénitra
212645060345,Kassita,l'Oriental
212745689438,Bin elouidane,Béni Mellal-Khénifra
212625951907,Sidi Allal Tazi,Rabat-Salé-Kénitra
212661850283,Laâtamna,l'Oriental
212659310848,Driouch,l'Oriental
212650811293,Azrou,Fès-Meknès
212748833493,Touima,l'Oriental
212790636936,Zagora,Drâa-Tafilalet
212653784705,El Kelaâ des Sraghna,Marrakech-Safi
212645098004,Oued-Eddahab,Dakhla-Oued Ed Dahab
212748016643,Rissani,Drâa-Tafilalet
212797893738,Assilah,Tanger-Tétouan-Al Hoceïma
212699576921,Goulmima,Drâa-Tafilalet
212642394696,Timahdite,Fès-Meknès
212686650899,Ouaouizeght,Béni Mellal-Khénifra
212690151676,Tinejdad,Drâa-Tafilalet
212616292418,Sidi Slimane Echcharaa,l'Oriental
212679953889,Aïn Erreggada,l'Oriental
212619013793,Stehat,Tanger-Tétouan-Al Hoceïma
212712672384,Aït Baha,Souss-Massa
212663579582,Outat El Haj,Fès-Meknès
212742013667,Ihddaden,l'Oriental
212756057285,Lakhsass,Souss-Massa
212795806944,Tit Mellil,Casablanca-Settat
212748611604,Ghafsai,Fès-Meknès
212652823517,Had Bouhssoussen,Béni Mellal-Khénifra
212735860557,Ifri,Drâa-Tafilalet
212799801478,Imassine,Drâa-Tafilalet
212738833298,Fam El Hisn,Souss-Massa
212743081498,Bradia,Béni Mellal-Khénifra
212641337581,Aït Baha,Souss-Massa
212698986932,Laayoune,Laâyoune-Sakia El Hamra
212769024516,Taghjijt,Guelmim-Oued Noun
212793207152,Sidi Yahya El Gharb,Rabat-Salé-Kénitra
212685585842,Laaounate,Casablanca-Settat
212685231816,Bouarfa,l'Oriental
212770525825,Fès,Fès-Meknès
212769062305,Sidi Ali Ban Hamdouche,Casablanca-Settat
212643091998,Zag,Guelmim-Oued Noun
212621137720,Oualidia,Casablanca-Settat
212762778903,Debdou,l'Oriental
212762763709,Béni Mellal,Béni Mellal-Khénifra
212736886958,Gourrama,Drâa-Tafilalet
212683862661,Ighil n'Oumgoun,Drâa-Tafilalet
212773191530,Ain Taoujdate,Fès-Meknès
212721846001,Mehdia,Rabat-Salé-Kénitra
212675371896,M'rirt,Béni Mellal-Khénifra
212684733680,El Menzel,Fès-Meknès
212775367223,Agdz,Drâa-Tafilalet
212656844902,Taïnaste,Fès-Meknès
212647255031,Sidi Bouknadel,Rabat-Salé-Kénitra
212644403938,Boujdour,Laâyoune-Sakia El Hamra
212726172153,Afourar,Béni Mellal-Khénifra
212731049303,Agni Izimmer,Souss-Massa
212775239330,Sebt Gzoula,Marrakech-Safi
212773969227,Oulad Teïma,Souss-Massa
212684131833,Sidi Ifni,Guelmim-Oued Noun
212717972837,Kassita,l'Oriental
212645322532,Aoufous,Drâa-Tafilalet
212650958909,Selouane,l'Oriental
212697750022,Dcheira El Jihadia,Souss-Massa
212647020589,El Guerdane,Souss-Massa
212612134651,Ghmate,Marrakech-Safi
212786772486,M'haya,Fès-Meknès
212734301171,El Guerdane,Souss-Massa
212698920865,Ben Guerir,Marrakech-Safi
212762411633,Had Bouhssoussen,Béni Mellal-Khénifra
212648369423,Oulad Abbou,Casablanca-Settat
212715574710,Lalla Takerkoust,Marrakech-Safi
212649450843,Lakhsass,Souss-Massa
212733209158,Moulay Abdallah,Casablanca-Settat
212745718520,Lalla Mimouna,Rabat-Salé-Kénitra
212776512486,Midelt,Drâa-Tafilalet
212651027632,Hattane,Béni Mellal-Khénifra
212746435248,Azemmour,Casablanca-Settat
212625246835,Bzou,Béni Mellal-Khénifra
212723916623,Tifnit,Souss-Massa
212663724977,Khouribga,Béni Mellal-Khénifra
